Portfolio,Signal date,Effective date,Momentum ranking,Old weights,New weights,Turnover,Cost bps,Cost as portfolio return,OldWeight_SPY,NewWeight_SPY,OldWeight_EFA,NewWeight_EFA,OldWeight_EEM,NewWeight_EEM,OldWeight_IEF,NewWeight_IEF,OldWeight_GLD,NewWeight_GLD,OldWeight_DBC,NewWeight_DBC,OldWeight_VNQ,NewWeight_VNQ
Top 1 momentum,2008-09-30,2008-10-01,IEF > GLD > VNQ > DBC > SPY > EFA > EEM,VNQ:1.000000000000,IEF:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
Top 1 momentum,2008-10-31,2008-11-03,IEF > GLD > SPY > DBC > VNQ > EFA > EEM,IEF:1.000000000000,IEF:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2008-11-28,2008-12-01,IEF > GLD > SPY > EFA > DBC > VNQ > EEM,IEF:1.000000000000,IEF:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2008-12-31,2009-01-02,IEF > GLD > SPY > EFA > VNQ > EEM > DBC,IEF:1.000000000000,IEF:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2009-01-30,2009-02-02,IEF > GLD > SPY > EFA > EEM > VNQ > DBC,IEF:1.000000000000,IEF:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2009-02-27,2009-03-02,GLD > IEF > SPY > EFA > EEM > DBC > VNQ,IEF:1.000000000000,GLD:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2009-03-31,2009-04-01,IEF > GLD > EEM > SPY > EFA > DBC > VNQ,GLD:1.000000000000,IEF:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2009-04-30,2009-05-01,EEM > GLD > IEF > EFA > SPY > VNQ > DBC,IEF:1.000000000000,EEM:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2009-05-29,2009-06-01,EEM > GLD > EFA > VNQ > SPY > DBC > IEF,EEM:1.000000000000,EEM:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2009-06-30,2009-07-01,EEM > DBC > EFA > SPY > GLD > VNQ > IEF,EEM:1.000000000000,EEM:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2009-07-31,2009-08-03,EEM > EFA > SPY > VNQ > DBC > GLD > IEF,EEM:1.000000000000,EEM:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2009-08-31,2009-09-01,VNQ > EEM > EFA > SPY > DBC > GLD > IEF,EEM:1.000000000000,VNQ:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
Top 1 momentum,2009-09-30,2009-10-01,VNQ > EEM > EFA > SPY > DBC > GLD > IEF,VNQ:1.000000000000,VNQ:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
Top 1 momentum,2009-10-30,2009-11-02,EFA > VNQ > EEM > GLD > SPY > DBC > IEF,VNQ:1.000000000000,EFA:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
Top 1 momentum,2009-11-30,2009-12-01,VNQ > GLD > EEM > SPY > EFA > IEF > DBC,EFA:1.000000000000,VNQ:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
Top 1 momentum,2009-12-31,2010-01-04,VNQ > EEM > SPY > EFA > GLD > DBC > IEF,VNQ:1.000000000000,VNQ:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
Top 1 momentum,2010-01-29,2010-02-01,VNQ > GLD > SPY > EEM > EFA > IEF > DBC,VNQ:1.000000000000,VNQ:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
Top 1 momentum,2010-02-26,2010-03-01,GLD > VNQ > SPY > EEM > DBC > IEF > EFA,VNQ:1.000000000000,GLD:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
Top 1 momentum,2010-03-31,2010-04-01,VNQ > GLD > SPY > EEM > DBC > EFA > IEF,GLD:1.000000000000,VNQ:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
Top 1 momentum,2010-04-30,2010-05-03,VNQ > SPY > GLD > EEM > DBC > EFA > IEF,VNQ:1.000000000000,VNQ:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
Top 1 momentum,2010-05-28,2010-06-01,VNQ > IEF > GLD > SPY > EEM > DBC > EFA,VNQ:1.000000000000,VNQ:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
Top 1 momentum,2010-06-30,2010-07-01,GLD > IEF > VNQ > SPY > EEM > DBC > EFA,VNQ:1.000000000000,GLD:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
Top 1 momentum,2010-07-30,2010-08-02,VNQ > GLD > EEM > IEF > SPY > DBC > EFA,GLD:1.000000000000,VNQ:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
Top 1 momentum,2010-08-31,2010-09-01,VNQ > IEF > GLD > EEM > SPY > EFA > DBC,VNQ:1.000000000000,VNQ:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
Top 1 momentum,2010-09-30,2010-10-01,GLD > IEF > VNQ > EEM > DBC > EFA > SPY,VNQ:1.000000000000,GLD:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
Top 1 momentum,2010-10-29,2010-11-01,GLD > IEF > EEM > EFA > VNQ > DBC > SPY,GLD:1.000000000000,GLD:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2010-11-30,2010-12-01,EEM > DBC > GLD > EFA > VNQ > SPY > IEF,GLD:1.000000000000,EEM:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2010-12-31,2011-01-03,DBC > EEM > EFA > SPY > VNQ > GLD > IEF,EEM:1.000000000000,DBC:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2011-01-31,2011-02-01,DBC > SPY > GLD > EFA > VNQ > EEM > IEF,DBC:1.000000000000,DBC:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2011-02-28,2011-03-01,DBC > SPY > EFA > VNQ > EEM > GLD > IEF,DBC:1.000000000000,DBC:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2011-03-31,2011-04-01,DBC > SPY > VNQ > EFA > EEM > GLD > IEF,DBC:1.000000000000,DBC:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2011-04-29,2011-05-02,DBC > SPY > GLD > VNQ > EFA > EEM > IEF,DBC:1.000000000000,DBC:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2011-05-31,2011-06-01,DBC > VNQ > SPY > EFA > GLD > EEM > IEF,DBC:1.000000000000,DBC:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2011-06-30,2011-07-01,VNQ > DBC > GLD > SPY > EFA > IEF > EEM,DBC:1.000000000000,VNQ:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
Top 1 momentum,2011-07-29,2011-08-01,GLD > VNQ > DBC > IEF > EEM > SPY > EFA,VNQ:1.000000000000,GLD:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
Top 1 momentum,2011-08-31,2011-09-01,GLD > IEF > VNQ > DBC > SPY > EEM > EFA,GLD:1.000000000000,GLD:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2011-09-30,2011-10-03,IEF > GLD > VNQ > SPY > DBC > EFA > EEM,GLD:1.000000000000,IEF:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2011-10-31,2011-11-01,GLD > IEF > VNQ > SPY > DBC > EEM > EFA,IEF:1.000000000000,GLD:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2011-11-30,2011-12-01,GLD > IEF > SPY > VNQ > DBC > EFA > EEM,GLD:1.000000000000,GLD:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2011-12-30,2012-01-03,IEF > GLD > VNQ > SPY > DBC > EFA > EEM,GLD:1.000000000000,IEF:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2012-01-31,2012-02-01,IEF > GLD > VNQ > SPY > DBC > EFA > EEM,IEF:1.000000000000,IEF:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2012-02-29,2012-03-01,SPY > VNQ > EEM > EFA > IEF > DBC > GLD,IEF:1.000000000000,SPY:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2012-03-30,2012-04-02,VNQ > SPY > EEM > EFA > DBC > GLD > IEF,SPY:1.000000000000,VNQ:1.000000000000,2.0000000000,5.0000000000,0.0010000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
Top 1 momentum,2012-04-30,2012-05-01,VNQ > SPY > IEF > DBC > EEM > EFA > GLD,VNQ:1.000000000000,VNQ:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
Top 1 momentum,2012-05-31,2012-06-01,VNQ > SPY > IEF > EEM > EFA > DBC > GLD,VNQ:1.000000000000,VNQ:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
